time_index,train_1_on,train_2_on,train_3_on,train_4_on,train_1_flow_pct,train_2_flow_pct,train_3_flow_pct,train_4_flow_pct
63,1,1,1,1,100,100,100,100
64,1,1,1,1,100,100,100,100
65,1,1,1,1,100,100,100,100
66,1,1,1,1,100,100,100,100
67,1,1,1,1,100,100,100,100
68,1,1,1,1,100,100,100,100
69,1,1,1,1,100,100,100,100
70,1,1,1,1,100,100,100,100
71,1,1,1,1,100,100,100,100
72,1,1,1,1,100,100,100,100
73,1,1,1,1,100,100,100,100
74,1,1,1,1,100,100,100,100
75,1,1,1,1,100,100,100,100
76,1,1,1,1,100,100,100,100
77,1,1,1,1,100,100,100,100
78,1,1,1,1,100,100,100,100
79,1,1,1,1,100,100,100,100
80,1,1,1,1,100,100,100,100
81,1,1,1,1,100,100,100,100
82,1,1,1,1,100,100,100,100
83,1,1,1,1,100,100,100,100
84,1,1,1,1,100,100,100,100
85,1,1,1,1,100,100,100,100
86,1,1,1,1,100,100,100,100
87,1,1,1,1,100,100,100,100
88,1,1,1,1,100,100,100,100
89,1,1,1,1,100,100,100,100
90,1,1,1,1,100,100,100,100
91,1,1,1,1,100,100,100,100
92,1,1,1,1,100,100,100,100
93,1,1,1,1,100,100,100,100
94,1,1,1,1,100,100,100,100
95,1,1,1,1,100,100,100,100
96,1,1,1,1,100,100,100,100
97,1,1,1,1,100,100,100,100
98,1,1,1,1,100,100,100,100
99,1,1,1,1,100,100,100,100
100,1,1,1,1,100,100,100,100
101,1,1,1,1,100,100,100,100
102,1,1,1,1,100,100,100,100
103,1,1,1,1,100,100,100,100
104,1,1,1,1,100,100,100,100
105,1,1,1,1,100,100,100,100
106,1,1,1,1,100,100,100,100
107,1,1,1,1,100,100,100,100
108,1,1,1,1,100,100,100,100
109,1,1,1,1,100,100,100,100
110,1,1,1,1,100,100,100,100
111,1,1,1,1,100,100,100,100
112,1,1,1,1,100,100,100,100
113,1,1,1,1,100,100,100,100
114,1,1,1,1,100,100,100,100
115,1,1,1,1,100,100,100,100
116,1,1,1,1,100,100,100,100
117,1,1,1,1,100,100,100,100
118,1,1,1,1,100,100,100,100
119,1,1,1,1,100,100,100,100
120,1,1,1,1,100,100,100,100
121,1,1,1,1,100,100,100,100
122,1,1,1,1,100,100,100,100
123,1,1,1,1,100,100,100,100
124,1,1,1,1,100,100,100,100
125,1,1,1,1,100,100,100,100
126,1,1,1,1,100,100,100,100
127,1,1,1,1,100,100,100,100
128,1,1,1,1,100,100,100,100
129,1,1,1,1,100,100,100,100
130,1,1,1,1,100,100,100,100
131,1,1,1,1,100,100,100,100
132,1,1,1,1,100,100,100,100
133,1,1,1,1,100,100,100,100
134,1,1,1,1,100,100,100,100
135,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0
144,0,0,0,0,0,0,0,0
145,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0
153,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0
156,0,0,0,0,0,0,0,0
157,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0
159,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0
162,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0
164,0,0,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0
